Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI,Year,Month,Day,Date_Week_Later,Query_Date,Query_Date_Week_Later
20220620ILGRC,https://www.cbsnews.com/chicago/news/woman-and-2-teenagers-injured-after-shooting-near-school-gresham/,50,National,4,2022-06-20,Summer,Gresham School of Excellence,Chicago,IL,Elementary,Field (General),Outside on School Property,No,Night,01:00:00,3 people shot on elementary school field,"100 shots were fired on the field of the elementary school. A 29-year-old female, 16-year-old male, and 17-year-old female were wounded. Shooter fled.",,Both,No,No,No,No,No,No,,No,100,No,2022,6,20,2022-06-27,2022-06-20T00:00:00Z,2022-06-27T00:00:00Z
20220613WAMAE,https://www.q13fox.com/news/deputies-arrest-15-year-old-accused-of-firing-shots-outside-everett-high-school-causing-a-lockdown,5,Local,4,2022-06-13,Summer,Mariner High School,Everett,WA,High,Parking Lot,Outside on School Property,No,After School,15:10:00,Shots fired in parking lot by teen during after school activities,A 15-year-old male fired shots at two teens in a vehicle in the school parking lot during a dispute. Two shots stuck the car. Shooter ran from the scene and was arrested the following day. Victims also fled and were uncooperative with police. No injuries. School went on lockdown.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,,No,99,No,2022,6,13,2022-06-20,2022-06-13T00:00:00Z,2022-06-20T00:00:00Z
20220610ALBYB,https://www.actionnews5.com/2022/06/10/student-custody-after-gun-discharged-byhalia-high-school/ https://wreg.com/news/mid-south/gun-goes-off-at-byhalia-high-school-one-in-custody/ https://www.fox13memphis.com/news/local/gun-discharged-byhalia-high-school-officials-say/LNAG3BBXUZGP5NCNS34SC4PMGY/,3,Local,4,2022-06-10,Summer,Byhalia High School,Byhalia,MS,High,Parking Lot,Outside on School Property,Yes,Morning Classes,10:30:00,Student fired gun in parking lot during dispute,Student (unidentified minor) fired shot during a dispute in the school parking lot. Students were at the school for summer classes and sports practice. Shooter fled in a vehicle and was later arrested. No injuries.,Escalation of Dispute,Victims Targeted,,No,No,No,No,No,,No,1,No,2022,6,10,2022-06-17,2022-06-10T00:00:00Z,2022-06-17T00:00:00Z
20220609ALWAG,https://www.live5news.com/2022/06/09/potential-intruder-confronted-outside-elementary-school-alabama-superintendent-says/ https://www.cnn.com/2022/06/09/us/alabama-elementary-school-man-killed/index.html https://www.cbs42.com/alabama-news/alabama-man-killed-by-police-outside-elementary-school-was-mentally-ill-suicidal-brother-says/ https://www.nbcnews.com/news/us-news/person-fatally-shot-police-alabama-elementary-school-rcna32822 https://www.cbs42.com/news/local/police-advise-public-to-avoid-area-around-walnut-park-elementary-due-to-incident/,100,National,4,2022-06-09,Summer,Walnut Park Elementary School,Gadsden,AL,Elementary,Front of School,Outside on School Property,Yes,Morning Classes,09:30:00,Man fatally shot by SRO while trying to break-in to school,"A 32-year-old man was fatally shot by a school resource officer after attempting to break-in to the school and a vehicle. When the officer approached the man, he became violent and attempted to take the officers gun. Family members said the man was suffering from severe mental illness, suicidal, and depressed. Brother believe he was attempting suicide by cop. School went on lockdown. Students and staff inside the school were not injured. ",Officer-Involved Shooting,,,,,,,,,,,No,2022,6,9,2022-06-16,2022-06-09T00:00:00Z,2022-06-16T00:00:00Z
20220608ARLIL,https://www.kark.com/crime/lrpd-school-bus-hit-by-gunfire-near-asher-brown-no-injuries-reported/ https://apnews.com/article/arkansas-little-rock-shootings-23dc299df98539531b098aad2e4b8ff1,5,National,4,2022-06-08,Summer,Little Rock School District Bus,Little Rock,AR,Other,School Bus,School Bus,Yes,Dismissal,16:01:00,Shots struck school bus driving student home,Shots struck a school bus. Driver and student on the bus were not injured. Police said the bus was not the target of the shooting. Suspect fled and was not identified.,,Both,,No,No,No,No,No,,No,99,No,2022,6,8,2022-06-15,2022-06-08T00:00:00Z,2022-06-15T00:00:00Z
20220607MIPED,https://www.wxyz.com/news/shots-fired-at-pershing-high-school-district-police-say https://www.detroitnews.com/story/news/local/detroit-city/2022/06/08/gunshots-detroits-pershing-high-school-lead-arrests-district-says/7549552001/ https://www.clickondetroit.com/news/local/2022/06/08/officers-make-several-arrests-after-shots-fired-post-dismissal-at-pershing-high-school-in-detroit/,4,Local,4,2022-06-07,Summer,Pershing High School,Detroit,MI,High,Parking Lot,Outside on School Property,No,After School,16:00:00,Shots fired in school parking lot after dismissal,Shots fired in the school parking lot after dismissal. Football team was practicing nearby. School police arrested multiple people involving shooter. No injuries.,,,,No,No,No,No,No,,No,99,No,2022,6,7,2022-06-14,2022-06-07T00:00:00Z,2022-06-14T00:00:00Z
20220605INWEG,https://abc7chicago.com/gary-indiana-shooting-west-side-leadership-academy-high-school-graduation-railcats-stadium/11930811/ https://www.nbcchicago.com/news/local/shooting-erupts-outside-gary-railcats-stadium-after-graduation-ceremony/2850280/,2,Local,4,2022-06-05,Summer,West Side Leadership Academy,Gary,IN,High,Off School Property,Off School Property,No,School Event,18:13:00,2 teens shot following high school graduation,Two teens were shot outside of the graduation venue following the ceremony. Two teens and a 20-year-old man were arrested by police officers working security for the event.,Escalation of Dispute,Both,,No,No,No,No,No,,No,99,No,2022,6,5,2022-06-12,2022-06-05T00:00:00Z,2022-06-12T00:00:00Z
20220601CAULL,https://www.foxla.com/news/grant-high-school-van-nuys-shooting https://abc7.com/los-angeles-schools-shooting-grant-high-school-van-nuys/11916354/ https://ktla.com/news/local-news/police-investigate-shooting-near-grant-high-school-in-valley-glen/,10,Regional,4,2022-06-01,Summer,Ulysses S. Grant Senior High School,Los Angeles,CA,High,Front of School,Outside on School Property,Yes,Dismissal,15:25:00,Student shot in front of school at dismissal,16-year-olds student was shot in front of the school during dismissal. School went on lockdown. Shooter fled in vehicle. Police said the shooting was gang related.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,Yes,No,,No,2022,6,1,2022-06-08,2022-06-01T00:00:00Z,2022-06-08T00:00:00Z
20220531LAMON,https://www.wwltv.com/article/news/crime/one-dead-two-injured-in-post-graduation-shooting-on-xavier-campus/289-2bb5a09d-8900-4e96-9ca5-06727bb4123c https://www.cnn.com/2022/05/31/us/xavier-university-shooting-new-orleans/index.html https://www.wafb.com/2022/06/01/triple-shooting-leaves-grandmother-dead-outside-morris-jeff-high-graduation-xavier-university-nopd-says/,100,National,4,2022-05-31,Spring,Morris Jeff High School,New Orleans,LA,High,Off School Property,Off School Property,Yes,Sport Event,11:45:00,3 people shot following high school graduation,An 80-year-old woman was killed and two men were wounded during a shooting in the parking lot following high school graduation. Two women were fighting when the shots were fired. Graduation for the high school was held at Xavier University.,Escalation of Dispute,Both,No,No,No,No,No,No,No,No,99,No,2022,5,31,2022-06-07,2022-05-31T00:00:00Z,2022-06-07T00:00:00Z
20220530CAHEL,https://www.sandiegouniontribune.com/news/public-safety/story/2022-05-31/man-shot-wounded-in-helix-high-school-parking-lot https://www.10news.com/news/local-news/suspect-sought-after-man-shot-in-helix-high-school-parking-lot https://www.nbcsandiego.com/news/local/1-shot-after-school-hours-in-parking-lot-of-helix-high-school/2959563/,3,Local,4,2022-05-30,Spring,Helix High School,La Mesa,CA,High,Parking Lot,Outside on School Property,No,Evening,18:20:00,Adult man shot in school parking lot,Adult man was shot in the school parking lot. Shooter fled. School was closed for Memorial Day.,,Victims Targeted,No,No,No,No,No,No,,No,99,No,2022,5,30,2022-06-06,2022-05-30T00:00:00Z,2022-06-06T00:00:00Z
