"Incident_ID","fatalities"
"19700105DCHIW",1
"19700415ARPIP",1
"19700422DEPIW",1
"19700831FLALM",1
"19700914TNHAN",1
"19700924IDMEM",1
"19701019TNBOM",1
"19701212WIXAA",1
"19710202PAMOP",1
"19710225OHFRC",1
"19710909TXDUL",1
"19710924NYMCB",1
"19710929VAPEP",1
"19711108OKGRT",1
"19711124MDEDB",1
"19720105DCPAW",1
"19720214ILCAC",1
"19720504NVLIR",1
"19720505INDEI",1
"19730226VAARR",1
"19731002ILELA",1
"19731019MOBES",1
"19731108ILWOC",1
"19731109CALOL",1
"19740117ILBAC",1
"19740122CALOL",1
"19740207CAJAO",2
"19740322INBRB",1
"19740510TNCHR",1
"19741007LADEH",1
"19741121ARBOL",1
"19741218CAMAL",1
"19741230NYOLO",3
"19750224NJSTP",1
"19750318MOSUS",1
"19750527MIPID",1
"19750911OKGRO",1
"19751001NMHEA",1
"19760123OHCOC",1
"19760412TXODF",1
"19761110MIBUD",1
"19770209ILFEC",1
"19770407TXWHW",1
"19770418TNPIN",1
"19771212FLWEW",1
"19780209WVHAS",1
"19780222MIEVL",1
"19780426TXPAD",1
"19780428ILRIN",2
"19780518TXMUA",1
"19780607DEDOD",1
"19781214CTWIN",1
"19790129CAGRS",2
"19790426TXAZA",1
"19790614OHNEN",1
"19800107ARSTS",1
"19800215MSHUM",1
"19800320TXJLD",1
"19800417VACAC",2
"19800910DCSPW",1
"19800911ALJOM",1
"19810210CAMAL",1
"19810328FLDIF",1
"19810913MDABA",1
"19811209NYGEB",1
"19811223NYJAB",1
"19820205TNHAM",1
"19820209LAJON",1
"19820319NVVAL",1
"19820407CODEL",1
"19821112MSWIJ",1
"19830118TXJOH",1
"19830120MOPAB",1
"19830130TXWEC",1
"19830516TXLAD",1
"19830912MIHED",1
"19831022MDCAB",1
"19831108MIHIH",1
"19831117ILJAC",1
"19831118MDHAB",1
"19840224CA49L",2
"19840420MIPRD",1
"19840517IASOP",1
"19841024OHWEC",1
"19841031LAEAG",1
"19850121KSGOG",1
"19851008MDLAB",1
"19851126WASPS",2
"19851210CTPOP",1
"19860109NCNOD",1
"19860117CAVAL",1
"19860129MDLAB",1
"19860429MOSES",1
"19860912CAFAL",1
"19860918CABEB",1
"19861008TXSOD",1
"19861204MTFEL",1
"19870213AZORM",1
"19870302MODED",1
"19870416MIMUD",1
"19870430ORGRP",1
"19871014ILDUC",1
"19871130TXPES",1
"19880120LASIR",1
"19880129TXREA",1
"19880211FLPIL",1
"19880520ILHUW",1
"19880831SCWEA",1
"19880922ILMOC",4
"19880926SCOAG",2
"19881216VAATV",1
"19890105ARHEL",1
"19890117CACLS",5
"19890303INWIG",1
"19890911AZDYE",1
"19891113NYALN",1
"19891122CACHO",1
"19900220OHTAC",1
"19900504CAMOE",1
"19900520TNHIC",1
"19900824NCMYC",1
"19900827NVELL",1
"19910219LABON",1
"19910325NCGAC",1
"19910423CARAC",1
"19910510OHFRC",1
"19910521CAROS",1
"19910521FLSCP",1
"19910913TXMAH",1
"19910918TXCRC",1
"19911009NYJAB",1
"19911023TXOAD",1
"19911106LAWAN",1
"19911111TXYSE",1
"19911125NYTHB",1
"19920206OKDOO",1
"19920207VABON",1
"19920226NYTHB",2
"19920331LAOPA",1
"19920417TXLID",1
"19920501CALIO",4
"19920530DCARW",1
"19920930CAPAL",1
"19920930TXHOH",1
"19921013AZDET",1
"19921113TXLAC",1
"19921116ALFAB",1
"19921120ILTIC",1
"19921203ILWOC",1
"19930112FLNOM",1
"19930118KYEAG",2
"19930121CAFAL",1
"19930201NYAMA",1
"19930204GACLA",1
"19930208DCWAW",1
"19930222CAREL",1
"19930308VADOD",1
"19930318GAHAH",1
"19930325MOSUS",1
"19930403CAGRS",1
"19930415MAFOA",1
